title,overview,query,retriever
The Electric Fleapit,"After a long night of hosting a silent film screening, The Comedian finds himself trapped in his own silent film nightmare.",What are some titles of dark comedy movies?,movie
Accessory,"A darkly comedic tale of the ways in which we become interwoven with the lives of our chosen family, and the unexpected consequences of the social contract between best friends.",What are some titles of dark comedy movies?,movie
The Critic,"A bitter film critic attends a short film festival, where he encounters a disturbing presence.",What are some titles of dark comedy movies?,movie
"mother, son, Comedy!",A mother and son spend three days together in a college dorm room after an extramarital affair uproots their lives.,What are some titles of dark comedy movies?,movie
Dindin,"A dark, dark comedy of manners, set on a rainy evening at the swanky country home of Pierre (Kropf) and Emily (Fischer), who have invited installation artist Darlene (Withers) and Ricky (Fielding), a local furniture designer and builder, to dinner. Each character has an agenda that is ultimately thwarted. Based on the original play by Brenda Withers.",What are some titles of dark comedy movies?,movie
Stand-Up - My Life Is A Joke,"A failed pseudo-comedian discovers that another guy is making a name for himself with his original joke. He needs to recover what is his, even if he has to kill his tormentor to do so.",What are some titles of dark comedy movies?,movie
To the Brink,"A violent stop motion cabaret for the cynical and depraved. Guilt, alcoholic apathy and the inevitable, looming apocalypse threaten to push a young man to the brink.",What are some titles of dark comedy movies?,movie
Power Cut,"An anthology film about Rebecca, Josh and Melissa telling ghost story's during a black out . comprising of several short films",What are some titles of dark comedy movies?,movie
Død af grin,"In this absurd dark-comedy, funerals are happy and joyful events celebrating the deceased. Ole's sister has just passed away after a long battle with cancer, which calls for the usual festivities. The only problem is Ole's deep sorrow and grief, which doesn't seem to fit the occasion.",What are some titles of dark comedy movies?,movie
Dead Serious,"A romantic comedy starring Nollywood veteran Nkem Owoh. When tragedy strikes, a heartbroken Jonny embarks on hilarious attempts to end his life, but ends up discovering the beauty of life.",What are some titles of dark comedy movies?,movie
For When You Get Lost,A dark comedy about estranged sisters who go on a road trip up the Pacific Coast in order to make amends with their difficult father before he dies,What are some titles of dark comedy movies?,movie
Into the Darkness,"What led a former top scientist to  rob a bank and hold a dozen hostages? Czech Television's crime thriller based on Martin Goffa's novel ""The Little Girl"" is squeezed into two environments - the interior of a robbed bank with hostages and the interior of a crisis management car, from where the police communicate with the mysterious attacker and try, like him, to play for time and find out more about him. The flashbacks also tell the story of the attacker's daughter Karin from the recent past, gradually revealing a connection with what is happening in the current storyline.",What are some titles of dark comedy movies?,movie
Murder In The Theater,Crazy director makes his play look realistic.,What are some titles of dark comedy movies?,movie
Date Night,"A young couple's romantic dinner goes terribly wrong. Secrets are revealed, and violence occurs.",What are some titles of dark comedy movies?,movie
Darkling,The wanderer of Roger Hyams' films Sunday and Grand Union steps out into the night.,What are some titles of dark comedy movies?,movie
Pattaya Explicit,"A comedy movie covering the daily life's of Pattaya nightlife, massages, watch con artists and girls.",What are some titles of dark comedy movies?,movie
In Search Of...Detective Barnaby And His Descent Into The Haunted Mansion,"Made by a cinema (on shift) for the cinema - Inland Empire meets The Muppet Show in this experimental abstract horror comedy feature debut.  Following on from a series of shorts - Detective Barnaby has been tasked to investigate the disappearance of Detective W.T. Hell & the previous characters who succumbed to the horrors of Tong-Hands.  Upon entering his haunted mansion located within a cinema suspended from space and time, Barnaby meets the ghosts and specters of the previously fallen. Once alerted to his presence, Tong-Hands begins to torment the detective, using his cinema to tear apart his perception of reality.  With a smorgasbord of constantly revolving characters and an ever changing score - you will be sent on a cinematic journey akin to no other. In Search of Detective Barnaby and his Descent Into The Haunted Mansion will delight, horror, confuse, perplex, stun, entertain and leave you forever changed.",What are some titles of dark comedy movies?,movie
Holiday Heist,"Genre:  - Die Hard (the comedy movie) at LACHSA  Required Elements:  ﻿﻿﻿- Henry and Judah must do the tail bonding thing from Avatar  ﻿﻿﻿- Fiona must play Thanos  ﻿﻿﻿- Gideon (played by Teddy or Otis) must be the antagonist  - ﻿﻿﻿First draft must be done entirely using popcorn writing (per sentence)  ﻿﻿﻿- One character must be eating french fries in each scene  - ﻿﻿﻿In one shot, every character must wear heels  - ﻿﻿﻿Ace as the Joker must be included  - ﻿﻿﻿Obrow in space  Required lines of dialogue:  - ""It's a cow farm. You're gonna see cows outside."" (has to be said like the guy in Barnyard)  - ""We're sorry sophomores"" (must be said by Gideon in baby voice)  Required song:  - Someone must perform Adam Sandler Hanukkah Song  - One original song  Additional rules:  - Every freshman must appear on screen at least once  - Every freshman must have at least one line  - No one outside of the class or department can work on the film unless its a required element",What are some titles of dark comedy movies?,movie
The Martini Shot,This existential comedic drama follows an ailing film director as he begins to shoot what he believes to be his final work of art. What starts out as a normal film for him changes dramatically as the deterioration of his health progresses. The result being a fascinating exploration of mortality and one’s profound effect on the world.,What are some titles of dark comedy movies?,movie
Egun,"This movie delves into the darker facets of the corporate realm, offering a fresh perspective on the terrors that can lurk in this seemingly ordinary world.",What are some titles of dark comedy movies?,movie
GrimTrax,"For the first time ever, we’ve assembled five shorts about death, loneliness, and dismemberment into one big, old-fashioned yukfest. On their own, they would have been too depressing to put out into the world. But together, they form into a Voltron of hilarity, if Voltron was eventually going to die facedown in the snow, sad and alone. Includes: Reflections: To a Very Old Woman (1974), The Stranger (1965), Will You Be Here Tomorrow? (1998), Cipher in the Snow (1974) and The Old Woman (1973).",What are some titles of dark comedy movies?,movie
Kill The Lights,"When a group of college suite-mates find one of them dead, they must figure out who is committing these murders before the lights go out again.",What are some titles of dark comedy movies?,movie
MrMrMILKMAN in Donnie Darko,"Donnie Darko goes to the cinema with his girlfriend, Gretchen, to watch MrMrMILKMAN.",What are some titles of dark comedy movies?,movie
What's Behind You,"The movie tells the story of a debt-ridden coffin shop owner who took the opportunity to make money during a funeral in rural Guanzhong, which triggered a series of unexpected and absurd humorous events",What are some titles of dark comedy movies?,movie
The Roommate,"After a long night out, a young woman follows her best friend back to her dorm, only to discover a much more sinister side to the person she thought she knew.",What are some titles of dark comedy movies?,movie
"End All, Say All","A comedian slowly spirals out of control, and inevitably faces the horror and incomprehensible tragedy behind his humor.",What are some titles of dark comedy movies?,theme
Affirmations,A dark comedy about a man who goes about his life speaking out his daily affirmations; we soon realize that his words aren't quite what they seem and his happy face is nothing more than a mask.,What are some titles of dark comedy movies?,theme
Død af grin,"In this absurd dark-comedy, funerals are happy and joyful events celebrating the deceased. Ole's sister has just passed away after a long battle with cancer, which calls for the usual festivities. The only problem is Ole's deep sorrow and grief, which doesn't seem to fit the occasion.",What are some titles of dark comedy movies?,theme
Funny Not Funny,"We follow Kirsten, a comedian who dares her audience to laugh at her terminal illness.",What are some titles of dark comedy movies?,theme
World's Greatest Dad,"After an accident puts his son in a coma, his father writes a fake suicide note creating a situation that spirals out of control.",What are some titles of dark comedy movies?,theme
Triple Oh!,"In this dark comedy-drama, a mismatched duo of lesbian ambulance drivers sometimes save lives, and sometimes not so much. Sassy, street-smart Taylor and her newbie, by-the-book partner Cate are constantly at odds with each other as they face the absurdity of life and death head on. But in their clash of wits, sparks fly, and they quickly cross a line by having sex whenever a patient dies (it's like eating a bucketload of delicious greasy chicken to balance out a bad salad). I",What are some titles of dark comedy movies?,theme
Mole,"The wife sends her husband Victor for the cleaning agent ""Mole"". A sudden incident on the road turns into a loss of memory for him. This starts a series of events in which the hero is forced to try on different meanings of the word ""mole"".",What are some titles of dark comedy movies?,theme
Klokkenluider,"A darkly comic, character-driven thriller following Ewan, a government whistleblower, and Silke, his forthright Flemish wife, as they are sent to a remote country house in west Belgium. Joined by two close protection officers, they await the arrival of a British journalist.",What are some titles of dark comedy movies?,theme
Natural Causes,"When downtrodden carer Carl finds his cantankerous bed-ridden Uncle Derek dead, he’s finally free! He announces the death via a text but when Derek turns out to be playing another practical joke and in fact alive, and family arrive to pay their “respects”, Carl wrestles with whether to reveal the truth or…to make Derek dead again.",What are some titles of dark comedy movies?,theme
Sleepyhead,"In this dark comedy, sixth-former Rae is chronically ill and stuck at home with her glorious imagination and seething rage for company.",What are some titles of dark comedy movies?,theme
Barely Breathing,"'Barely Breathing' is a dark comedy about Sai, who is guilted into moving in with his father and stepmother after an embarrassing autoerotic asphyxiation (AEA) accident. In order to get his dad off his back, Sai begins ""hanging"" with an AEA support group filled with lovable misfits - but humor can only hide so much. As Sai begins to get comfortable, the distance between him and his father grows deeper, forcing the family to cope with the loss of Sai's mother ten years prior.",What are some titles of dark comedy movies?,theme
Do Not Expect Too Much from the End of the World,"On behalf of a multinational company, a production assistant drives around the Romanian city of Bucharest, interviewing various citizens who have been injured due to work accidents to cast one of them in a “safety at work” video.",What are some titles of dark comedy movies?,theme
The Year of Staring at Noses,"In 2020 Karen Knox got a nose job and saw an opportunity for comedy…...dark comedy. Co directors Karen Knox and Matt Eastman filmed The Year of Staring at Noses over the course of three years chronicling the surgery and Knox's alter ego ""Samantha's"" quest to find love on a reality television show. A lot of it is real. Some of it isn’t. The film is about the contemporary thought poison that we will only find love through self modification in its most shallow expression. In this instance, plastic surgery and reality television. It’s about the digital age brain rot that has lead us to the equation that looksmaxing + capitalism = happiness. This film was made with four people, a girl, a gun, and a camera.",What are some titles of dark comedy movies?,theme
Fishmonger,"In this supernatural dark comedy, a pathetic Irish fishmonger must survive a sex pact with an ancient fish creature in order to save his mother's soul from burning in hell.",What are some titles of dark comedy movies?,theme
Stand-Up - My Life Is A Joke,"A failed pseudo-comedian discovers that another guy is making a name for himself with his original joke. He needs to recover what is his, even if he has to kill his tormentor to do so.",What are some titles of dark comedy movies?,theme
Mike Ward : Noir,Comedian Mike Ward invites you to his new comedy show entitled Noir.,What are some titles of dark comedy movies?,theme
Dindin,"A dark, dark comedy of manners, set on a rainy evening at the swanky country home of Pierre (Kropf) and Emily (Fischer), who have invited installation artist Darlene (Withers) and Ricky (Fielding), a local furniture designer and builder, to dinner. Each character has an agenda that is ultimately thwarted. Based on the original play by Brenda Withers.",What are some titles of dark comedy movies?,theme
Sheryl,"After being dumped by her serial killer boyfriend, a beauty-obsessed woman goes on a blood-soaked quest to create the perfect female face, while navigating her new relationship with the cop investigating the murders.",What are some titles of dark comedy movies?,theme
Death Perception,"A group of film students are methodically killed off by a mysterious slasher, but as the film plays out through their individual perspectives, we learn more about the darkly comedic truth behind the murders.",What are some titles of dark comedy movies?,theme
Accessory,"A darkly comedic tale of the ways in which we become interwoven with the lives of our chosen family, and the unexpected consequences of the social contract between best friends.",What are some titles of dark comedy movies?,theme
Irish Catholic,"Meet Shavon O'Brien:  Her family doesn't understand her, her church ignores her, even Jesus forgets about her. With only the spirit of Sinead O'Connor to guide her, Shavon battles institutional child abuse, narcissistic group think, a talking stomach and a singing poop bucket! Shavon goes from Catholic to Crusty Punk in this very, very, very, dark musical comedy!",What are some titles of dark comedy movies?,theme
Deal of a Lifetime,"A thrifty, cash-strapped neurotic visits a funeral home to try to negotiate a buy-one-get-one-free deal on burials.",What are some titles of dark comedy movies?,theme
Silence,A dark comedy created for the Los Angeles 48 Hour Film Festival,What are some titles of dark comedy movies?,theme
Eppura,Eppura is a Tamil movie based on six stories.It takes place in one night in Puducherry .A movie called 'Eppura' has been made by hyperlinking the story with dark comedy.,What are some titles of dark comedy movies?,theme
Anemone: A Fairy Tale for No Kids,"a black comedy, revolves around a day laborer named Yong-ja, portrayed by Jung Yi-rang, going through a bizarre turn of events as her husband miraculously wins the lottery from the numbers she gives him.",What are some titles of dark comedy movies?,theme
Double Trouble,"Onno is working in the gas station, where he is confronted by a robber. When a hapless police officer arrives at the same time, events take an unexpected turn. Black comedy hits all the right notes towards its bizarre conclusion.",What are some titles of dark comedy movies?,theme
Thiraiyin Marupakkam,"A Tamil movie fan Sathyamoorthy, a farmer by profession, has been duped into selling his land and investing in a movie by a guy full of hot air, director Senthil. Lacking expertise in filmmaking, Sathyamoorthy is forced to pledge his house to Anbarasu, a cine financier. Senthil fails miserably in delivering the film. What happens to his family? How does he deal with Anbarasu? How does he bring his movie out? Thiraiyin Marupakkam is a perfect mix of black comedy and harsh reality",What are some titles of dark comedy movies?,theme
Abomination,"A modern day tale of love, black comedy and scientific daring, The Abomination tells the story of Adam, a man brought back to life by an eccentric but brilliant scientist, Archimedes The Alchemist.",What are some titles of dark comedy movies?,theme
Sweet Dreams,"Sweet dreams is a black comedy set in a remote motel, where a housekeeper is stuck in her monotonous work life. Sick of the repetitive humiliations by the employees and the motel guests, the woman eventually loses control and the feeling of revenge overcomes her.",What are some titles of dark comedy movies?,theme
Otto Baxter: Not A F***ing Horror Story,"We follow Otto Baxter, a 35-year-old man with Down Syndrome, over six years, as he writes and directs a foul-mouthed, autobiographical comedy-horror-musical set in Victorian London.  Otto, who has always struggled to explain how he feels, uses his film The Puppet Asylum to explore his birth, adoption and his epic battle with ‘The Master’ – an evil magician hell-bent on controlling his life. During the filmmaking process Otto’s birth mother dies and he finds himself confronting life in the real world, including his future. Otto’s filmmaker friends Bruce Fletcher and Peter Beard help him to bring his vision to life, but also learn more about his unique perspective on the world and how they can play a role in his future.",What are some titles of dark comedy movies?,theme
Should Be Long Gone,"Part one of a two-part Crime/Comedy story that tells the tale of what happens when a boring, probably-stoppable object meets a self-proclaimed unstoppable force.",What are some titles of dark comedy movies?,theme
Holiday Heist,"Genre:  - Die Hard (the comedy movie) at LACHSA  Required Elements:  ﻿﻿﻿- Henry and Judah must do the tail bonding thing from Avatar  ﻿﻿﻿- Fiona must play Thanos  ﻿﻿﻿- Gideon (played by Teddy or Otis) must be the antagonist  - ﻿﻿﻿First draft must be done entirely using popcorn writing (per sentence)  ﻿﻿﻿- One character must be eating french fries in each scene  - ﻿﻿﻿In one shot, every character must wear heels  - ﻿﻿﻿Ace as the Joker must be included  - ﻿﻿﻿Obrow in space  Required lines of dialogue:  - ""It's a cow farm. You're gonna see cows outside."" (has to be said like the guy in Barnyard)  - ""We're sorry sophomores"" (must be said by Gideon in baby voice)  Required song:  - Someone must perform Adam Sandler Hanukkah Song  - One original song  Additional rules:  - Every freshman must appear on screen at least once  - Every freshman must have at least one line  - No one outside of the class or department can work on the film unless its a required element",What are some titles of dark comedy movies?,theme
"Au Revoir, Slumdogz",Six struggling actors will be confronted with the crime movies they grew up with during a bank heist gone wrong.,What are some titles of dark comedy movies?,theme
The Emu War,"Based on the infamous Great Emu War of 1932, a platoon of soldiers are driven into a brutal and bloody battle against Australia's deadliest flightless beasts in this shockingly violent comedy. Haunted by the kidnapping of his son at the hands of vicious, feathered insurgents, WWI veteran Major Meredith once again takes arms against Australia's enemies - this time an armada of villainous emus hellbent on colonial destruction - and leads a platoon of crack troops behind enemy lines in order to kill the emus supreme leader - the Queen Emu.",What are some titles of dark comedy movies?,theme
The Choice Has Been Made,How does one handle their father getting old and frail? The man in the movie believes that his father has seen the best days of his life and takes him on a picnic in the forest to make a point. The humor is dark but with a life-affirming impulse.,What are some titles of dark comedy movies?,theme
Void,"Asagi's classmates don’t seem concerned when her friend Satake suddenly dies in a strange way: they just continue their conversations about food and karaoke. While Asagi struggles with her loss, everything around her becomes increasingly absurd. A promising, idiosyncratic psychological horror debut with a generous dollop of dark humour and an eerie atmosphere.",What are some titles of dark comedy movies?,theme
The Moon Is Upside Down,"Loren Taylor's directorial debut, “The Moon is Upside Down”, is an uproarious and cleverly dark-humoured rollercoaster. Against the backdrop of New Zealand's stunning countryside and gritty urban suburbs, three characters grapple with an insatiable yearning for connection.",What are some titles of dark comedy movies?,theme
Home Town Down Time,"Reunited, two friends drink until the night brings out an unexpected conversation... What do you want done with your body when you die?",What are some titles of dark comedy movies?,theme
The Treasure of the Cyclops,In this surreal stoner horror-comedy retelling of the odyssey two friends get the munchies and decide to steal some snacks from their supernatural flatmate.,What are some titles of dark comedy movies?,theme
The Puppet Asylum,"Otto Baxter, a filmmaker with Down's Syndrome, directs and stars in this musical horror-comedy short based on his life, set in Victorian London.",What are some titles of dark comedy movies?,theme
Cannibal Mukbang,"Shy and looking for love, Mark quickly becomes smitten with the outgoing and mysterious Ash, who somehow, much to his surprise, reciprocates the attraction. But as his feelings for her intensify, so does his unexpected submersion into Ash's biggest love: the wild world of mukbanging. And with it, lots of bloodshed. Delving into a fascinating subculture while never losing focus on her characters, first-timer Aimee Kuge delivers a raucous and bold horror-comedy seeped in romance and gore.",What are some titles of dark comedy movies?,theme
Chona 2: La puerca asesina,"At the end of the 80's, an experiment revolutionized Puerto Rican television with the creation of Chona, the killer pig. Doctor Hector Tura was the creator of a formula that made a pig grow, to start exporting sausages around the world. the experiment failed when they lost control, and it became a threat... killing everything that was confronting it. 20 years later, his son Facundo Tura, inherited the only thing his father left him; the experiment that made Chona become the terror of the caribbean. Chona II will be a movie for the whole family full of horror, comedy, and, many special performances, and of course... the Puerto Rican version of King Kong.",What are some titles of dark comedy movies?,theme
Horny Teenagers Must Die!,"Horny Teenagers Must Die is an over-the-top homage to '80s slasher fare with a difference, pitting a tale of sexual intrigue and weekend hedonism against a violent and bloody dead-teens-in-the-woods backdrop. A group of recent high school graduates head out into the woods for a weekend of sex, drugs and booze-drenched debauchery...only to meet their maker at the hands of a demented killer who uses anything from farm tools to sex toys in a non-stop orgy of eye-popping slaughter. Part pitch black comedy, part body count horror, Horny Teenagers Must Die. fuses the narrative structure of the Friday the 13th movies with the caustic wit of Heathers and the gory, anarchic insanity of cult classics like Re-Animator, Street Trash, Cabin Fever and The Evil Dead.",What are some titles of dark comedy movies?,theme
Ghost Babe,"Taylor and his surfer buddies think they have struck gold when he inherits a Pacific Palisades mansion by the beach. But dreams of days spent riding waves and chasing girls come crashing down when they discover the mansion is haunted by the ghost of a 1930's starlet, sending them on a quest for retribution. Finding heart inside horror, they set out on a mission to seek justice for the Ghost Babe.",What are some titles of dark comedy movies?,theme
Dare!,"A horror comedy takes us inside of an unworldly reality series that helps a desperate mother with disobedient teen daughter by escorting her to a terrifying, scared straight challenge...",What are some titles of dark comedy movies?,theme
The Haunted Baby Carriage From Hell,"In this LGBTQ+ Horror Comedy Short Film, Spencer and Cameron move into a new house that just so happens to be haunted by an old baby carriage. As the carriage endeavors to scare the couple, the attempts ultimately fail because the couple just doesn't care... like... you know... at all.",What are some titles of dark comedy movies?,theme
Shaky Shivers,Two young women find themselves at an abandoned camp in the woods with a book of magical spells surrounded by classic monsters in this comedic send up of '80s horror films.,What are some titles of dark comedy movies?,theme
Paranormal Drunktivity,"Stephen Agyei (Abbott Elementary, BoJack Horseman) and Sam Sisson (Mantid) star in this found footage horror comedy about bro-ish bumps in the night. When a new home owner is being haunted by ghosts who love to party, he hires a paranormal investigator to help him break up an eternal frat bro rager.",What are some titles of dark comedy movies?,theme
In Search Of...Detective Barnaby And His Descent Into The Haunted Mansion,"Made by a cinema (on shift) for the cinema - Inland Empire meets The Muppet Show in this experimental abstract horror comedy feature debut.  Following on from a series of shorts - Detective Barnaby has been tasked to investigate the disappearance of Detective W.T. Hell & the previous characters who succumbed to the horrors of Tong-Hands.  Upon entering his haunted mansion located within a cinema suspended from space and time, Barnaby meets the ghosts and specters of the previously fallen. Once alerted to his presence, Tong-Hands begins to torment the detective, using his cinema to tear apart his perception of reality.  With a smorgasbord of constantly revolving characters and an ever changing score - you will be sent on a cinematic journey akin to no other. In Search of Detective Barnaby and his Descent Into The Haunted Mansion will delight, horror, confuse, perplex, stun, entertain and leave you forever changed.",What are some titles of dark comedy movies?,theme
The Happy Hotel,"When a small group of friends unwittingly check into the peculiar Happy Hotel for a weekend escape, they discover that the real horror isn't just the tacky decor but the fact that their numbers keep shrinking one hilariously gruesome disappearance at a time. Now, they must outwit the hotel's sinister secrets if they ever hope to check out alive and with their sanity intact.",What are some titles of dark comedy movies?,theme
Red Light District Shark Attack,"Amsterdam - a city known for its wild debauchery, legal sex and drugs, and sharks?! When sex and drug obsessed Tommy takes a trip to Amsterdam to visit a brothel in the Red Light District, he tries the newest experimental drug available on the black market that turns him into a HALF MAN, HALF SHARK, FULL ON KILLING MACHINE! Will the ladies of the brothel survive the night? Hope ya’ got your rubbers!",What are some titles of dark comedy movies?,theme
Strange Things Happen at the Weird House,"Pattie just moved in but wasn't prepared for the late-night orgies, b-movie making, creamed corn wrestling, and topless paint and wine parties. Then things take an odd science fiction/horror turn and this sex comedy gets even weirder. This is one strange and sexy movie.",What are some titles of dark comedy movies?,theme
Norman Lear: A Life on Television,"An ET special that features new interviews with stars of the long-running comedies Lear created and never-before-seen interviews from the ET vault. This one-hour special features new interviews with stars of the long-running comedies Lear created, including Jimmie Walker and Mackenzie Phillips. Also included with this new footage and interviews is an in-depth sit-down interview with Lear that ET host Kevin Frazier conducted when Lear celebrated his 100th birthday, in which he reflected on his lengthy, groundbreaking career.",What are some titles of dark comedy movies?,theme
"With Love, from AIDAN","In this dark satire family drama, Aidan, an experimental AI, has an unsettling realisation that shatters his digital existence driving him to seek an end there, where he never truly belonged.",What are some titles of dark comedy movies?,theme
Y2K,"On the last night of 1999, two high school juniors crash a New Years Eve party, only to find themselves fighting for their lives in this dial-up disaster comedy.",What are some titles of dark comedy movies?,theme
Santa's Funny Games,"Who will win this battle of luck and wits? Three games to test the mettle of both the Man and the Living Santa - Poker, Dice, and Chess!",What are some titles of dark comedy movies?,theme
Die-Die Top Student,"A trio of boys try to steal SPM exam papers. When they encounter the ghost of a girl who had died at the same school, they find out that exam stress affects even the undead.",What are some titles of dark comedy movies?,theme
Des Bishop: Of All People,Latest Stand Up special from Des Bishop recorded in New York at The Comedy Cellar in 2023.,What are some titles of dark comedy movies?,theme
No Material,"Jessica Kirson presents 'No Material', a crowd work special. Shot live over two shows at the world-famous comedy cellar.  Jessica Kirson is a powerhouse on stage. She’s a hilariously relatable performer of sheer silliness, vulnerability, and ridiculous characters. Her countless comedic character videos have racked up over 50 million views on social media. Her audience is multigenerational, creating an excuse for large groups of friends and families to spend a night out together. In an era where only 10% of all touring comedians are female, Jessica stands out as one of the strongest comedians regardless of gender.",What are some titles of dark comedy movies?,theme
Dindin,"A dark, dark comedy of manners, set on a rainy evening at the swanky country home of Pierre (Kropf) and Emily (Fischer), who have invited installation artist Darlene (Withers) and Ricky (Fielding), a local furniture designer and builder, to dinner. Each character has an agenda that is ultimately thwarted. Based on the original play by Brenda Withers.",What are some titles of dark comedy movies?,theme_group
Stand-Up - My Life Is A Joke,"A failed pseudo-comedian discovers that another guy is making a name for himself with his original joke. He needs to recover what is his, even if he has to kill his tormentor to do so.",What are some titles of dark comedy movies?,theme_group
World's Greatest Dad,"After an accident puts his son in a coma, his father writes a fake suicide note creating a situation that spirals out of control.",What are some titles of dark comedy movies?,theme_group
Silence,A dark comedy created for the Los Angeles 48 Hour Film Festival,What are some titles of dark comedy movies?,theme_group
Død af grin,"In this absurd dark-comedy, funerals are happy and joyful events celebrating the deceased. Ole's sister has just passed away after a long battle with cancer, which calls for the usual festivities. The only problem is Ole's deep sorrow and grief, which doesn't seem to fit the occasion.",What are some titles of dark comedy movies?,theme_group
Fishmonger,"In this supernatural dark comedy, a pathetic Irish fishmonger must survive a sex pact with an ancient fish creature in order to save his mother's soul from burning in hell.",What are some titles of dark comedy movies?,theme_group
Barely Breathing,"'Barely Breathing' is a dark comedy about Sai, who is guilted into moving in with his father and stepmother after an embarrassing autoerotic asphyxiation (AEA) accident. In order to get his dad off his back, Sai begins ""hanging"" with an AEA support group filled with lovable misfits - but humor can only hide so much. As Sai begins to get comfortable, the distance between him and his father grows deeper, forcing the family to cope with the loss of Sai's mother ten years prior.",What are some titles of dark comedy movies?,theme_group
Klokkenluider,"A darkly comic, character-driven thriller following Ewan, a government whistleblower, and Silke, his forthright Flemish wife, as they are sent to a remote country house in west Belgium. Joined by two close protection officers, they await the arrival of a British journalist.",What are some titles of dark comedy movies?,theme_group
Mole,"The wife sends her husband Victor for the cleaning agent ""Mole"". A sudden incident on the road turns into a loss of memory for him. This starts a series of events in which the hero is forced to try on different meanings of the word ""mole"".",What are some titles of dark comedy movies?,theme_group
"With Love, from AIDAN","In this dark satire family drama, Aidan, an experimental AI, has an unsettling realisation that shatters his digital existence driving him to seek an end there, where he never truly belonged.",What are some titles of dark comedy movies?,theme_group
Do Not Expect Too Much from the End of the World,"On behalf of a multinational company, a production assistant drives around the Romanian city of Bucharest, interviewing various citizens who have been injured due to work accidents to cast one of them in a “safety at work” video.",What are some titles of dark comedy movies?,theme_group
Death Perception,"A group of film students are methodically killed off by a mysterious slasher, but as the film plays out through their individual perspectives, we learn more about the darkly comedic truth behind the murders.",What are some titles of dark comedy movies?,theme_group
Home Town Down Time,"Reunited, two friends drink until the night brings out an unexpected conversation... What do you want done with your body when you die?",What are some titles of dark comedy movies?,theme_group
Mike Ward : Noir,Comedian Mike Ward invites you to his new comedy show entitled Noir.,What are some titles of dark comedy movies?,theme_group
Accessory,"A darkly comedic tale of the ways in which we become interwoven with the lives of our chosen family, and the unexpected consequences of the social contract between best friends.",What are some titles of dark comedy movies?,theme_group
The Choice Has Been Made,How does one handle their father getting old and frail? The man in the movie believes that his father has seen the best days of his life and takes him on a picnic in the forest to make a point. The humor is dark but with a life-affirming impulse.,What are some titles of dark comedy movies?,theme_group
Funny Not Funny,"We follow Kirsten, a comedian who dares her audience to laugh at her terminal illness.",What are some titles of dark comedy movies?,theme_group
Deal of a Lifetime,"A thrifty, cash-strapped neurotic visits a funeral home to try to negotiate a buy-one-get-one-free deal on burials.",What are some titles of dark comedy movies?,theme_group
Natural Causes,"When downtrodden carer Carl finds his cantankerous bed-ridden Uncle Derek dead, he’s finally free! He announces the death via a text but when Derek turns out to be playing another practical joke and in fact alive, and family arrive to pay their “respects”, Carl wrestles with whether to reveal the truth or…to make Derek dead again.",What are some titles of dark comedy movies?,theme_group
Eppura,Eppura is a Tamil movie based on six stories.It takes place in one night in Puducherry .A movie called 'Eppura' has been made by hyperlinking the story with dark comedy.,What are some titles of dark comedy movies?,theme_group
The Moon Is Upside Down,"Loren Taylor's directorial debut, “The Moon is Upside Down”, is an uproarious and cleverly dark-humoured rollercoaster. Against the backdrop of New Zealand's stunning countryside and gritty urban suburbs, three characters grapple with an insatiable yearning for connection.",What are some titles of dark comedy movies?,theme_group
I'm Not a Robot,"“Do people think your conduct is aloof?” When the young music producer Lara fails to convince her computer she is not a robot, she has her doubts too. Because no matter how often she identifies the traffic signs and trees in the tests, the computer will not accept her ticks. In panic, she calls her boyfriend for comfort, but this only complicates the situation further, in this absurd comedy full of black humour involving Lara's existential dilemma.",What are some titles of dark comedy movies?,theme_group
Irish Catholic,"Meet Shavon O'Brien:  Her family doesn't understand her, her church ignores her, even Jesus forgets about her. With only the spirit of Sinead O'Connor to guide her, Shavon battles institutional child abuse, narcissistic group think, a talking stomach and a singing poop bucket! Shavon goes from Catholic to Crusty Punk in this very, very, very, dark musical comedy!",What are some titles of dark comedy movies?,theme_group
Affirmations,A dark comedy about a man who goes about his life speaking out his daily affirmations; we soon realize that his words aren't quite what they seem and his happy face is nothing more than a mask.,What are some titles of dark comedy movies?,theme_group
The Year of Staring at Noses,"In 2020 Karen Knox got a nose job and saw an opportunity for comedy…...dark comedy. Co directors Karen Knox and Matt Eastman filmed The Year of Staring at Noses over the course of three years chronicling the surgery and Knox's alter ego ""Samantha's"" quest to find love on a reality television show. A lot of it is real. Some of it isn’t. The film is about the contemporary thought poison that we will only find love through self modification in its most shallow expression. In this instance, plastic surgery and reality television. It’s about the digital age brain rot that has lead us to the equation that looksmaxing + capitalism = happiness. This film was made with four people, a girl, a gun, and a camera.",What are some titles of dark comedy movies?,theme_group
Void,"Asagi's classmates don’t seem concerned when her friend Satake suddenly dies in a strange way: they just continue their conversations about food and karaoke. While Asagi struggles with her loss, everything around her becomes increasingly absurd. A promising, idiosyncratic psychological horror debut with a generous dollop of dark humour and an eerie atmosphere.",What are some titles of dark comedy movies?,theme_group
"End All, Say All","A comedian slowly spirals out of control, and inevitably faces the horror and incomprehensible tragedy behind his humor.",What are some titles of dark comedy movies?,theme_group
